127 100
0.57 0.0998334 0.881193
0.58 0.0998334 0.879196
0.59 0.0998334 0.877199
0.6 0.0998334 0.875202
0.61 0.0998334 0.873206
0.62 0.0998334 0.871209
0.63 0.0998334 0.869212
0.64 0.0998334 0.867216
0.65 0.0998334 0.865219
0.66 0.0998334 0.863222
0.67 0.0998334 0.861226
0.68 0.0998334 0.859229
0.69 0.0998334 0.857232
0.7 0.0998334 0.855235
0.71 0.0998334 0.853239
0.72 0.0998334 0.851242
0.73 0.0998334 0.849245
0.74 0.0998334 0.847249
0.75 0.0998334 0.845252
0.76 0.0998334 0.843255
0.77 0.0998334 0.841259
0.78 0.0998334 0.839262
0.79 0.0998334 0.837265
0.8 0.0998334 0.835268
0.81 0.0998334 0.833272
0.82 0.0998334 0.831275
0.83 0.0998334 0.829278
0.839999 0.0998334 0.827282
0.849999 0.0998334 0.825285
0.859999 0.0998334 0.823288
0.869999 0.0998334 0.821292
0.879999 0.0998334 0.819295
0.889999 0.0998334 0.817298
0.899999 0.0998334 0.815302
0.909999 0.0998334 0.813305
0.919999 0.0998334 0.811308
0.929999 0.0998334 0.809311
0.939999 0.0998334 0.807315
0.949999 0.0998334 0.805318
0.959999 0.0998334 0.803321
0.969999 0.0998334 0.801325
0.979999 0.0998334 0.799328
0.989999 0.0998334 0.797331

0 0.149438 0.988771
0.01 0.149438 0.985782
0.02 0.149438 0.982794
0.03 0.149438 0.979805
0.04 0.149438 0.976816
0.05 0.149438 0.973827
0.06 0.149438 0.970839
0.07 0.149438 0.96785
0.08 0.149438 0.964861
0.09 0.149438 0.961872
0.1 0.149438 0.958884
0.11 0.149438 0.955895
0.12 0.149438 0.952906
0.13 0.149438 0.949917
0.14 0.149438 0.946929
0.15 0.149438 0.94394
0.16 0.149438 0.940951
0.17 0.149438 0.937962
0.18 0.149438 0.934973
0.19 0.149438 0.931985
0.2 0.149438 0.928996
0.21 0.149438 0.926007
0.22 0.149438 0.923018
0.23 0.149438 0.92003
0.24 0.149438 0.917041
0.25 0.149438 0.914052
0.26 0.149438 0.911063
0.27 0.149438 0.908075
0.28 0.149438 0.905086
0.29 0.149438 0.902097
0.3 0.149438 0.899108
0.31 0.149438 0.89612
0.32 0.149438 0.893131
0.33 0.149438 0.890142
0.34 0.149438 0.887153
0.35 0.149438 0.884165
0.36 0.149438 0.881176
0.37 0.149438 0.878187
0.38 0.149438 0.875198
0.39 0.149438 0.87221
0.4 0.149438 0.869221
0.41 0.149438 0.866232
0.42 0.149438 0.863243
0.43 0.149438 0.860255
0.44 0.149438 0.857266
0.45 0.149438 0.854277
